Station Number,DWR Regional Office*,Name,County,Latitude,Longitude,ELEV,Status,Connect,Disconnect
65,NCRO,Walnut Creek,Contra Costa,37.914000,-122.082000,440,Inactive,7/22/1987,3/8/2002
66,SRO,San Diego,San Diego,32.733000,-117.135000,370,Inactive,4/27/1989,12/19/2001
67,SRO,Goleta,Santa Barbara,34.432000,-119.839000,30,Inactive,2/17/1988,4/7/1993
68,SRO,Seeley,Imperial,32.759575,-115.732067,-38,Active,5/29/1987,Active
69,SCRO,San Jose,Santa Clara,37.326000,-121.950000,125,Inactive,6/8/1987,11/22/2002
70,NCRO,Manteca,San Joaquin,37.834822,-121.223194,38,Active,11/12/1987,Active
71,SCRO,Modesto,Stanislaus,37.645222,-121.187764,35,Active,6/25/1987,Active
72,SRO,Palo Verde,Imperial,33.388000,-114.723000,230,Inactive,9/8/1987,12/20/2000
73,SRO,Hollywood Hills,Los Angeles,34.147000,-118.318000,560,Inactive,3/4/1988,9/14/1993
74,SRO,Escondido,San Diego,33.090000,-116.973000,450,Inactive,4/26/1988,12/24/1998
75,SRO,Irvine,Orange,33.688450,-117.721178,410,Active,10/7/1987,Active
76,SRO,Betteravia,Santa Barbara,34.924000,-120.512000,160,Inactive,12/18/1987,7/1/1993
77,NCRO,Oakville,Napa,38.428475,-122.410206,199,Active,3/1/1989,Active
78,SRO,Pomona,Los Angeles,34.056589,-117.813069,720,Active,3/14/1989,Active
79,NCRO,Angwin,Napa,38.549000,-122.421000,1720,Inactive,5/11/1989,12/27/1996
80,SCRO,Fresno State,Fresno,36.820833,-119.742308,339,Active,10/3/1988,Active
81,NCRO,Shenandoah Valley,Amador,38.523000,-120.804000,1550,Inactive,5/11/1990,5/17/2000
82,SRO,Claremont,Los Angeles,34.130000,-117.696000,1620,Inactive,4/13/1989,9/26/2007
83,NCRO,Santa Rosa,Sonoma,38.403550,-122.799931,80,Active,1/1/1990,Active
84,NCRO,Browns Valley,Yuba,39.252561,-121.315669,940,Active,4/13/1989,Active
85,NCRO,Hopland,Mendocino,39.006747,-123.080122,1128,Inactive,9/23/1989,4/25/2016
86,SCRO,Lindcove,Tulare,36.360647,-119.059344,474,Active,5/31/1989,Active
87,SRO,Meloland,Imperial,32.806183,-115.446258,-55,Active,12/12/1989,Active
88,SRO,Cuyama,Santa Barbara,34.942525,-119.673800,2192,Active,5/20/1989,Active
