,AcresBurned,Started,Latitude,Longitude,precip,max_temp,min_hum,avg_wind,fires_last_year
0,97717.0,2014-09-13,38.805437,-120.62971399999999,0.11583333333333334,2654.2983333333336,618.05,178.52166666666668,2
1,50042.0,2014-08-02,41.587986,-122.53328700000002,0.0,3054.145,411.25000000000006,117.85333333333334,4
2,39736.0,2014-07-30,40.900999999999996,-121.368,0.07050000000000001,2699.308333333334,760.0666666666665,155.41666666666663,4
3,35302.0,2014-07-30,42.048,-122.345,0.14133333333333334,2554.151666666666,819.5000000000001,147.8433333333333,1
4,32496.0,2014-07-30,41.587986,-122.53328700000002,0.0,3026.2400000000007,429.41666666666663,117.56000000000002,1
5,32416.0,2014-07-31,40.72,-121.56200000000001,0.06833333333333333,2707.366666666667,755.8333333333334,154.54500000000002,6
6,14416.0,2014-05-15,33.023604,-116.776117,0.2803333333333333,2427.5649999999996,1151.0166666666667,119.54833333333333,9
7,13838.0,2014-07-28,37.209821000000005,-119.749802,0.0,2895.24,638.8000000000002,156.03499999999997,0
8,13153.0,2014-07-30,41.1336,-121.2144,0.07050000000000001,2699.308333333334,760.0666666666665,155.41666666666663,2
9,12661.0,2014-07-11,40.4314,-122.75078799999999,0.0,2945.3750000000005,388.4333333333334,115.27999999999999,3
10,12536.0,2014-07-30,39.432388,-123.442881,0.0,2799.171666666667,748.8,110.56500000000001,0
11,6488.0,2014-07-04,38.512,-122.104,0.0,2757.578333333334,664.6833333333334,111.33500000000001,0
12,6258.0,2014-07-30,41.141000000000005,-122.805,0.0,3026.2400000000007,429.41666666666663,117.56000000000002,4
13,5503.0,2014-07-31,41.681999999999995,-122.12700000000001,0.136,2562.0666666666666,818.2666666666668,145.66333333333333,3
14,5367.0,2014-05-14,33.3529,-117.28488899999999,0.2396666666666667,2395.566666666666,763.7333333333335,133.23833333333334,3
15,4840.0,2014-06-19,36.240107,-121.315572,0.7608333333333333,2317.8333333333335,1334.8833333333332,246.06166666666667,2
16,4772.0,2014-08-16,37.570029999999996,-119.912861,0.0,2911.93,721.9666666666667,164.08,5
17,4689.0,2014-07-26,37.570029999999996,-119.912861,0.0,2866.434999999999,704.6166666666666,175.29000000000002,4
18,4300.0,2014-07-01,38.664,-122.454,0.0,2560.14,1095.5833333333333,126.70500000000001,0
19,4300.0,2014-07-01,38.664,-122.454,0.0,2560.14,1095.5833333333333,126.70500000000001,1
20,4240.0,2014-07-25,38.5691,-120.7819,0.0,2679.9066666666668,707.0833333333334,101.64666666666668,0
21,4240.0,2014-07-25,38.5691,-120.7819,0.0,2679.9066666666668,707.0833333333334,101.64666666666668,1
22,4045.0,2014-08-18,35.7206,-118.4747,34.2295,2948.72,760.1166666666664,117.76666666666667,3
23,3895.0,2014-06-13,35.70683,-118.555527,0.4146666666666667,2700.321666666667,649.9166666666667,133.2833333333334,0
24,2143.0,2014-04-30,34.169346000000004,-117.547374,0.499,2340.581666666667,1110.7333333333333,74.66833333333335,0
25,1995.0,2014-05-14,33.1137,-117.1599,0.29133333333333333,2400.7466666666664,1185.033333333333,122.14833333333334,3
26,1680.0,2014-07-11,35.641999999999996,-118.15,0.028333333333333335,2956.58,318.28333333333336,245.29833333333335,2
27,1651.0,2014-07-01,41.89,-120.79,0.3288333333333333,2320.935,746.8166666666666,131.435,0
28,1548.0,2014-05-13,33.003,-117.133,0.3051666666666667,2283.8416666666667,1437.4666666666667,136.35500000000002,2
29,1469.0,2014-07-03,41.489,-120.904,0.2975,2352.4900000000002,734.2333333333332,130.2666666666667,1
30,1457.0,2014-05-16,33.417572,-117.55056699999999,0.26,2420.371666666667,987.9166666666666,138.32666666666668,10
31,1375.0,2014-09-10,40.7101,-122.171,0.0155,2977.1466666666674,400.5333333333334,119.04833333333335,8
32,1080.0,2014-07-17,37.570029999999996,-119.912861,0.0,2858.5999999999995,638.5666666666667,169.77666666666664,3
33,968.0,2014-09-12,33.748000000000005,-117.601,0.007,2626.3733333333334,1320.3166666666664,108.02499999999998,0
34,677.0,2014-05-26,37.570029999999996,-119.912861,0.19716666666666666,2508.47,784.2833333333334,177.3783333333334,0
35,632.0,2014-05-13,34.609,-120.454,0.2945,2073.2983333333336,1573.2333333333333,209.91666666666669,0
36,612.0,2014-08-18,37.3433,-119.6581,0.013666666666666667,2932.328333333333,646.2166666666666,147.16666666666666,1
37,600.0,2014-05-14,33.1109,-117.279,0.08549999999999999,2082.0533333333333,1859.0666666666673,151.71333333333334,3
38,580.0,2014-08-24,40.7412,-122.946,0.02683333333333333,2991.5316666666668,462.48333333333323,116.71,1
39,516.0,2014-09-15,41.423840000000006,-122.37432,0.012166666666666666,2984.2949999999996,382.7666666666667,118.52833333333334,6
40,487.0,2014-06-04,37.76617,-120.45087,0.11466666666666665,2511.7666666666673,742.0333333333333,181.48833333333337,0
41,459.0,2014-10-08,39.062032,-120.722718,0.8201666666666666,2511.021666666666,792.8833333333332,168.99166666666656,2
42,403.0,2014-09-13,39.432388,-123.442881,0.0,2763.5150000000003,702.2333333333333,110.0283333333333,1
43,400.0,2014-03-19,36.6313,-121.4819,0.6526666666666667,2102.616666666667,1503.666666666667,113.32833333333335,0
44,389.0,2014-07-28,39.665959,-121.601919,0.0,2791.4166666666665,1023.1833333333336,90.30500000000005,2
45,380.0,2014-05-14,33.312,-117.162,0.2396666666666667,2395.566666666666,763.7333333333335,133.23833333333334,3
46,350.0,2014-03-15,33.729828000000005,-116.00223899999999,0.0,2445.248333333333,622.7333333333335,152.63333333333333,0
